日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240229,6576,揚工舎,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240229,6577,ベストワンドットコム,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240229,6578,エヌリンクス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240229,6579,ログリー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240229,6580,ライトアップ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240229,6584,三櫻工業,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,6,TOPIX Small 1
20240229,6586,マキタ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20240229,6588,東芝テック,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6590,芝浦メカトロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6592,マブチモーター,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6594,ニデック,プライム（内国株式）,3650,電気機器,9,電機・精密,1,TOPIX Core30
20240229,6596,筑波精工,PRO Market,3650,電気機器,9,電機・精密,-,-
20240229,6597,ＨＰＣシステムズ,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6599,エブレン,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6612,バルミューダ,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6613,ＱＤレーザ,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6614,シキノハイテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6615,ユー・エム・シー・エレクトロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6616,トレックス・セミコンダクター,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6617,東光高岳,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6619,ダブル・スコープ,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6620,宮越ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20240229,6622,ダイヘン,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6625,ＪＡＬＣＯホールディングス,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20240229,6626,ＳＥＭＩＴＥＣ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6627,テラプローブ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6629,テクノホライゾン,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6630,ヤーマン,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6632,ＪＶＣケンウッド,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6633,Ｃ＆Ｇシステムズ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6634,ネクスグループ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6635,大日光・エンジニアリング,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6637,寺崎電気産業,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6638,ミマキエンジニアリング,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6640,Ｉ－ＰＥＸ,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6643,戸上電機製作所,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6644,大崎電気工業,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6645,オムロン,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20240229,6647,森尾電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6648,かわでん,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6651,日東工業,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6652,ＩＤＥＣ,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6653,正興電機製作所,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6654,不二電機工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6656,インスペック,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6658,シライ電子工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6659,メディアリンクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6662,ユビテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6663,太洋テクノレックス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6664,オプトエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6666,リバーエレテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6668,アドテック　プラズマ　テクノロジー,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6670,ＭＣＪ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6674,ジーエス・ユアサ　コーポレーション,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6675,サクサホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6676,メルコホールディングス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6677,エスケーエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6678,テクノメディカ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6694,ズーム,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6695,トリプルワン,PRO Market,3650,電気機器,9,電機・精密,-,-
20240229,6696,トラース・オン・プロダクト,グロース（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6697,テックポイント・インク　ＪＤＲ,グロース（外国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6698,ヴィスコ・テクノロジーズ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
20240229,6699,ダイヤモンドエレクトリックホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6701,日本電気,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20240229,6702,富士通,プライム（内国株式）,3650,電気機器,9,電機・精密,2,TOPIX Large70
20240229,6703,沖電気工業,プライム（内国株式）,3650,電気機器,9,電機・精密,6,TOPIX Small 1
20240229,6704,岩崎通信機,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6706,電気興業,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6707,サンケン電気,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240229,6715,ナカヨ,スタンダード（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6718,アイホン,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
20240229,6721,ウインテスト,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-
