日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240329,2915,ケンコーマヨネーズ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2916,仙波糖化工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240329,2917,大森屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240329,2918,わらべや日洋ホールディングス,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20240329,2922,なとり,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2923,サトウ食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240329,2924,イフジ産業,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2926,篠崎屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240329,2927,ＡＦＣ－ＨＤアムスライフサイエンス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240329,2929,ファーマフーズ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20240329,2930,北の達人コーポレーション,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240329,2931,ユーグレナ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20240329,2932,ＳＴＩフードホールディングス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240329,2933,紀文食品,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2934,ジェイフロンティア,グロース（内国株式）,3050,食料品,1,食品,-,-
20240329,2935,ピックルスホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2936,ベースフード,グロース（内国株式）,3050,食料品,1,食品,-,-
20240329,2937,サンクゼール,グロース（内国株式）,3050,食料品,1,食品,-,-
20240329,2938,オカムラ食品工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240329,2961,日本調理機,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20240329,2962,テクニスコ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20240329,2970,グッドライフカンパニー,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2971,エスコンジャパンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240329,2972,サンケイリアルエステート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240329,2975,スター・マイカ・ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20240329,2977,Ｌｉｖ－ｕｐ,PRO Market,8050,不動産業,17,不動産,-,-
20240329,2978,ツクルバ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2979,ＳＯＳｉＬＡ物流リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240329,2980,ＳＲＥホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20240329,2981,ランディックス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2982,ＡＤワークスグループ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20240329,2983,アールプランナー,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2984,ヤマイチ・ユニハイムエステート,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2985,ファーストステージ,PRO Market,8050,不動産業,17,不動産,-,-
20240329,2986,ＬＡホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2989,東海道リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20240329,2990,アイダ設計,PRO Market,8050,不動産業,17,不動産,-,-
20240329,2991,ランドネット,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2992,アーバンライク,PRO Market,8050,不動産業,17,不動産,-,-
20240329,2993,長栄,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2994,アンサーホールディングス,PRO Market,8050,不動産業,17,不動産,-,-
20240329,2995,ジェイレックス・コーポレーション,PRO Market,8050,不動産業,17,不動産,-,-
20240329,2997,ストレージ王,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2998,クリアル,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20240329,2999,ホームポジション,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
